id,category
1271,Mergers_Acquisitions
2374,Earning_Reports
478,International_Finance
617,Economy
239,Economy
507,International_Finance
1105,Mergers_Acquisitions
1614,Commodities
2272,Litigation
1561,Oil
2206,Litigation
1995,Fraud
1170,Mergers_Acquisitions
2262,Litigation
1604,Commodities
2142,Litigation
1385,Oil
1398,Oil
1760,Commodities
1550,Oil
1966,Fraud
1455,Oil
1874,Fraud
1467,Oil
1776,Economy
2098,Litigation
2462,Earning_Reports
1151,Mergers_Acquisitions
1149,Mergers_Acquisitions
1658,Commodities
1744,Commodities
495,International_Finance
1005,Capital
2244,Litigation
2193,Litigation
2115,Litigation
1089,Real_Estate
2286,Litigation
1134,Mergers_Acquisitions
414,International_Finance
1414,Oil
1099,Mergers_Acquisitions
1316,Mergers_Acquisitions
1677,Commodities
1917,Fraud
1333,Oil
1665,Commodities
1620,Commodities
51,Policy
1830,Fraud
2234,Litigation
2177,Litigation
1669,Commodities
1056,Real_Estate
1179,Mergers_Acquisitions
736,Economy
1285,Mergers_Acquisitions
96,Policy
1706,Commodities
2018,Fraud
1380,Oil
407,International_Finance
1386,Oil
741,Economy
532,Economy
1486,Oil
1207,Mergers_Acquisitions
1896,Fraud
1743,Commodities
998,Capital
1790,Commodities
1090,Real_Estate
789,Capital
521,International_Finance
859,Capital
1780,Commodities
1036,Real_Estate
1355,Oil
2506,Earning_Reports
2423,Earning_Reports
435,International_Finance
1985,Fraud
30,International_Finance
729,Economy
838,Capital
2123,Litigation
2481,Earning_Reports
318,International_Finance
2036,Fraud
2266,Litigation
1987,Fraud
2161,Litigation
1656,Commodities
2305,Earning_Reports
296,International_Finance
237,Earning_Reports
109,Policy
2394,Earning_Reports
1501,Oil
2121,Litigation
1538,Oil
252,Policy
1793,Commodities
1791,Commodities
1133,Mergers_Acquisitions
1948,Fraud
2519,Earning_Reports
647,Economy
2007,Fraud
1175,Mergers_Acquisitions
2050,Fraud
410,International_Finance
990,Capital
2536,Earning_Reports
1779,Commodities
2464,Earning_Reports
1910,Fraud
1957,Fraud
1413,Oil
2471,Earning_Reports
1033,Real_Estate
1103,Mergers_Acquisitions
420,International_Finance
748,Economy
1761,Commodities
1034,Real_Estate
1436,Oil
100,Policy
1251,Mergers_Acquisitions
450,International_Finance
261,Mergers_Acquisitions
368,International_Finance
498,International_Finance
479,International_Finance
2037,Fraud
179,Policy
1393,Oil
1765,Commodities
798,Capital
1057,Real_Estate
2157,Litigation
2357,Earning_Reports
2326,Earning_Reports
291,Policy
141,Policy
464,International_Finance
1767,Oil
1135,Economy
2118,Litigation
528,Mergers_Acquisitions
2491,Earning_Reports
2516,Earning_Reports
2299,Earning_Reports
1883,Fraud
888,Capital
1602,Commodities
247,Policy
2140,Litigation
764,Economy
1546,Oil
1058,Real_Estate
2409,Earning_Reports
1349,Oil
2128,Litigation
29,International_Finance
530,Economy
1406,Oil
790,Capital
2298,Earning_Reports
1927,Fraud
2083,Fraud
486,International_Finance
157,Policy
1859,Fraud
2173,Litigation
613,Economy
605,Economy
1566,Oil
332,International_Finance
923,Capital
1854,Fraud
2179,Litigation
2522,Earning_Reports
2045,Fraud
1405,Oil
353,International_Finance
463,International_Finance
208,Policy
1044,Real_Estate
443,Commodities
1281,Mergers_Acquisitions
1394,Oil
2019,Fraud
1491,Oil
1266,Mergers_Acquisitions
1098,Mergers_Acquisitions
2026,Fraud
2332,Earning_Reports
1195,Mergers_Acquisitions
2459,Earning_Reports
1721,Commodities
199,Policy
229,Policy
2122,Litigation
1803,Commodities
693,Economy
1610,Commodities
1755,Commodities
700,Economy
315,International_Finance
1681,Commodities
2204,Litigation
1004,Capital
69,Policy
707,Economy
1261,Mergers_Acquisitions
135,Policy
812,Capital
1670,Commodities
1196,Mergers_Acquisitions
2051,Fraud
695,Economy
231,Policy
1459,Oil
2318,Earning_Reports
430,International_Finance
2535,Earning_Reports
433,International_Finance
565,Economy
611,Economy
2028,Fraud
1539,Oil
2441,Earning_Reports
2247,Litigation
279,Policy
618,Economy
1303,Mergers_Acquisitions
1576,Commodities
485,International_Finance
1961,Fraud
2209,Litigation
322,International_Finance
2315,Economy
2282,Litigation
509,International_Finance
2427,Earning_Reports
1027,Real_Estate
257,Policy
408,International_Finance
2311,Earning_Reports
440,International_Finance
76,Policy
2060,Fraud
1822,Fraud
1840,Fraud
1675,Commodities
2168,Litigation
1010,Capital
2096,Litigation
1915,Fraud
149,Policy
1651,Capital
2048,Fraud
1763,Commodities
1200,Mergers_Acquisitions
881,Capital
480,International_Finance
1560,Oil
2387,Earning_Reports
643,Economy
438,International_Finance
457,International_Finance
163,Policy
402,International_Finance
1124,Mergers_Acquisitions
2319,Earning_Reports
1441,Oil
166,Policy
2352,Earning_Reports
1746,Oil
582,Economy
482,International_Finance
49,Policy
67,Policy
2072,Fraud
1429,Oil
1533,Oil
48,Policy
1920,Fraud
742,Economy
931,Capital
2252,Litigation
124,Policy
836,Capital
1084,Mergers_Acquisitions
471,International_Finance
2314,Earning_Reports
1068,Real_Estate
1673,Commodities
25,International_Finance
2436,Earning_Reports
2107,Litigation
1572,Commodities
1993,Fraud
1644,Commodities
1234,Mergers_Acquisitions
1749,Commodities
861,Capital
2456,Earning_Reports
1193,Mergers_Acquisitions
361,International_Finance
2153,Litigation
2210,Litigation
2035,Fraud
1913,Fraud
840,Capital
522,International_Finance
